x,rho,P,u
-0.154654654654655,1,1,0
-0.153653653653654,1,1,0
-0.152652652652653,1,1,0
-0.151651651651652,1,1,0
-0.150650650650651,1,1,0
-0.14964964964965,1,1,0
-0.148648648648649,1,1,0
-0.147647647647648,1,1,0
-0.146646646646647,1,1,0
-0.145645645645646,1,1,0
-0.144644644644645,1,1,0
-0.143643643643644,1,1,0
-0.142642642642643,1,1,0
-0.141641641641642,1,1,0
-0.140640640640641,1,1,0
-0.13963963963964,1,1,0
-0.138638638638639,1,1,0
-0.137637637637638,1,1,0
-0.136636636636637,1,1,0
-0.135635635635636,1,1,0
-0.134634634634635,1,1,0
-0.133633633633634,1,1,0
-0.132632632632633,1,1,0
-0.131631631631632,1,1,0
-0.130630630630631,1,1,0
-0.12962962962963,1,1,0
-0.128628628628629,1,1,0
-0.127627627627628,1,1,0
-0.126626626626627,1,1,0
-0.125625625625626,1,1,0
-0.124624624624625,1,1,0
-0.123623623623624,1,1,0
-0.122622622622623,1,1,0
-0.121621621621622,1,1,0
-0.120620620620621,1,1,0
-0.11961961961962,1,1,0
-0.118618618618619,1,1,0
-0.117617617617618,0.99505173962968,0.993079298158544,0.00586648370312248
-0.116616616616617,0.988049453509476,0.983309319306746,0.0142081587114643
-0.115615615615616,0.981086643660658,0.973621843106348,0.0225498337198058
-0.114614614614615,0.974163142933132,0.964016288159821,0.0308915087281477
-0.113613613613614,0.967278784649302,0.954492076351963,0.0392331837364894
-0.112612612612613,0.9604334026034,0.945048632835976,0.0475748587448308
-0.111611611611612,0.953626831060818,0.935685386019591,0.0559165337531727
-0.110610610610611,0.946858904757444,0.926401767551233,0.0642582087615142
-0.10960960960961,0.94012945889898,0.917197212306212,0.072599883769856
-0.108608608608609,0.933438329160291,0.908071158372973,0.0809415587781977
-0.107607607607608,0.926785351684722,0.899023047039367,0.0892832337865392
-0.106606606606607,0.920170363083433,0.890052322778972,0.0976249087948811
-0.105605605605606,0.913593200434736,0.88115843323745,0.105966583803223
-0.104604604604605,0.907053701283419,0.872340829218945,0.114308258811564
-0.103603603603604,0.90055170364008,0.86359896467251,0.122649933819906
-0.102602602602603,0.89408704598046,0.854932296678593,0.130991608828248
-0.101601601601602,0.887659567244768,0.846340285435539,0.139333283836589
-0.100600600600601,0.881269106837022,0.837822394246147,0.147674958844931
-0.0995995995995996,0.874915504624373,0.82937808950426,0.156016633853273
-0.0985985985985986,0.868598600936437,0.821006840681392,0.164358308861614
-0.0975975975975976,0.862318236564629,0.812708120313395,0.172699983869956
-0.0965965965965966,0.85607425276149,0.804481403987166,0.181041658878298
-0.0955955955955956,0.849866491240025,0.796326170327396,0.189383333886639
-0.0945945945945946,0.843694794173026,0.788241900983342,0.197725008894981
-0.0935935935935936,0.837559004192408,0.780228080615661,0.206066683903323
-0.0925925925925926,0.831458964388543,0.772284196883263,0.214408358911664
-0.0915915915915916,0.825394518309582,0.764409740430206,0.222750033920006
-0.0905905905905906,0.819365509960797,0.756604204872641,0.231091708928348
-0.0895895895895896,0.813371783803906,0.748867086785778,0.23943338393669
-0.0885885885885886,0.807413184756403,0.741197885690904,0.247775058945031
-0.0875875875875876,0.801489558190894,0.73359610404243,0.256116733953373
-0.0865865865865866,0.795600749934425,0.726061247214984,0.264458408961714
-0.0855855855855856,0.789746606267815,0.71859282349053,0.272800083970056
-0.0845845845845846,0.783926973924984,0.711190344045542,0.281141758978398
-0.0835835835835836,0.77814170009229,0.703853322938199,0.289483433986739
-0.0825825825825826,0.772390632407854,0.696581277095627,0.297825108995081
-0.0815815815815816,0.766673618960895,0.689373726301177,0.306166784003423
-0.0805805805805806,0.760990508291061,0.682230193181744,0.314508459011765
-0.0795795795795796,0.755341149387757,0.67515020319511,0.322850134020106
-0.0785785785785786,0.749725391689483,0.668133284617346,0.331191809028448
-0.0775775775775776,0.744143085083157,0.661178968530235,0.33953348403679
-0.0765765765765766,0.73859407990345,0.654286788808735,0.347875159045131
-0.0755755755755756,0.733078226932121,0.647456282108486,0.356216834053473
-0.0745745745745746,0.727595377397344,0.640686987853351,0.364558509061815
-0.0735735735735736,0.722145382973034,0.633978448222986,0.372900184070156
-0.0725725725725726,0.716728095778192,0.627330208140465,0.381241859078498
-0.0715715715715716,0.711343368376224,0.620741815259927,0.38958353408684
-0.0705705705705706,0.705991053774276,0.614212819954259,0.397925209095181
