x,rho,u,P,e,rho_ref,u_ref,P_ref,e_ref
0.88,0.500002,4.60589e-06,0.571003,2.855,3.64264e-06,0.5,0.0,0.571,2.855
0.885,0.5,6.81856e-07,0.571,2.855,5.39257e-07,0.5,0.0,0.571,2.855
0.89,0.5,1.00905e-07,0.571,2.855,7.98027e-08,0.5,0.0,0.571,2.855
0.895,0.5,1.49263e-08,0.571,2.855,1.18047e-08,0.5,0.0,0.571,2.855
0.9,0.5,2.20681e-09,0.571,2.855,1.74529e-09,0.5,0.0,0.571,2.855
0.905,0.5,3.26073e-10,0.571,2.855,2.5788e-10,0.5,0.0,0.571,2.855
0.91,0.5,4.81442e-11,0.571,2.855,3.80756e-11,0.5,0.0,0.571,2.855
0.915,0.5,7.10204e-12,0.571,2.855,5.61676e-12,0.5,0.0,0.571,2.855
0.92,0.5,1.04648e-12,0.571,2.855,8.27623e-13,0.5,0.0,0.571,2.855
0.925,0.5,1.53867e-13,0.571,2.855,1.21688e-13,0.5,0.0,0.571,2.855
0.93,0.5,2.25752e-14,0.571,2.855,1.7854e-14,0.5,0.0,0.571,2.855
0.935,0.5,3.36549e-15,0.571,2.855,2.66165e-15,0.5,0.0,0.571,2.855
0.94,0.5,4.91588e-16,0.571,2.855,3.8878e-16,0.5,0.0,0.571,2.855
0.945,0.5,3.78146e-17,0.571,2.855,2.99063e-17,0.5,0.0,0.571,2.855
0.95,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.955,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.96,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.965,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.97,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.975,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.98,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.985,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.99,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
0.995,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
1.0,0.5,0.0,0.571,2.855,0.0,0.5,0.0,0.571,2.855
