X,Y
6.414141414141414366e-01,-1.420725433721338991e-02
6.515151515151516026e-01,-1.594355893994363338e-02
6.616161616161616577e-01,-1.767986354267388552e-02
6.717171717171717127e-01,-1.941616814540414460e-02
6.818181818181818787e-01,-2.115247274813438980e-02
6.919191919191919338e-01,-2.288877735086463500e-02
7.020202020202020998e-01,-2.462508195359489060e-02
7.121212121212121549e-01,-2.636138655632513234e-02
7.222222222222223209e-01,-2.809769115905538100e-02
7.323232323232323759e-01,-2.983399576178564008e-02
7.424242424242424310e-01,-3.157030036451587834e-02
7.525252525252525970e-01,-3.330660496724612701e-02
7.626262626262627631e-01,-3.504290956997638956e-02
7.727272727272728181e-01,-3.677921417270663823e-02
7.828282828282827621e-01,-3.851551877543687996e-02
7.929292929292929282e-01,-4.025182337816713557e-02
8.030303030303030942e-01,-4.198812798089737036e-02
8.131313131313132603e-01,-4.372443258362762597e-02
8.232323232323232043e-01,-4.546073718635787464e-02
8.333333333333334814e-01,-4.719704178908813719e-02
8.434343434343435364e-01,-4.893334639181838586e-02
8.535353535353534804e-01,-5.066965099454862759e-02
8.636363636363637575e-01,-5.240595559727888320e-02
8.737373737373738125e-01,-5.414226020000912493e-02
8.838383838383839786e-01,-5.587856480273937360e-02
8.939393939393939226e-01,-5.761486940546962920e-02
