x,rho,u,P,e, ,rho_ref,u_ref,P_ref,e_ref
0.63,0.362922,1.52594,2.45903,16.9391,0.495449,0.343939,1.52551,2.45979,17.8796
0.635,0.374964,1.52592,2.45905,16.3953,0.503591,0.343939,1.52551,2.45979,17.8796
0.64,0.392397,1.52589,2.45908,15.667,0.515155,0.343939,1.52551,2.45979,17.8796
0.645,0.416531,1.52587,2.4591,14.7594,0.530749,0.343939,1.52551,2.45979,17.8796
0.65,0.448517,1.52585,2.45913,13.707,0.550741,0.343939,1.52551,2.45979,17.8796
0.655,0.489151,1.52583,2.45915,12.5685,0.575137,0.343939,1.52551,2.45979,17.8796
0.66,0.538674,1.52581,2.45918,11.4131,0.603539,0.343939,1.52551,2.45979,17.8796
0.665,0.596634,1.5258,2.45921,10.3045,0.635168,0.343939,1.52551,2.45979,17.8796
0.67,0.661828,1.52578,2.45924,9.28957,0.66896,0.343939,1.52551,2.45979,17.8796
0.675,0.732359,1.52577,2.45927,8.39503,0.703692,0.343939,1.52551,2.45979,17.8796
0.68,0.805801,1.52575,2.4593,7.63,0.738122,0.343939,1.52551,2.45979,17.8796
0.685,0.879454,1.52574,2.45934,6.9911,0.771106,1.30227,1.52551,2.45979,4.72213
0.69,0.950638,1.52573,2.45938,6.4677,0.801695,1.30227,1.52551,2.45979,4.72213
0.695,1.01698,1.52572,2.45942,6.0459,0.829186,1.30227,1.52551,2.45979,4.72213
0.7,1.07662,1.52572,2.45946,5.71106,0.853144,1.30227,1.52551,2.45979,4.72213
0.705,1.12838,1.52572,2.4595,5.44918,0.873402,1.30227,1.52551,2.45979,4.72213
0.71,1.17176,1.52572,2.45955,5.24755,0.890023,1.30227,1.52551,2.45979,4.72213
0.715,1.20688,1.52572,2.45959,5.09494,0.903255,1.30227,1.52551,2.45979,4.72213
0.72,1.23437,1.52572,2.45965,4.98157,0.913477,1.30227,1.52551,2.45979,4.72213
0.725,1.25518,1.52573,2.4597,4.8991,0.921138,1.30227,1.52551,2.45979,4.72213
0.73,1.27042,1.52574,2.45975,4.84043,0.926709,1.30227,1.52551,2.45979,4.72213
0.735,1.28123,1.52575,2.45981,4.79968,0.93064,1.30227,1.52551,2.45979,4.72213
0.74,1.28867,1.52575,2.45986,4.77209,0.933332,1.30227,1.52551,2.45979,4.72213
0.745,1.29362,1.52575,2.45987,4.75385,0.935117,1.30227,1.52551,2.45979,4.72213
0.75,1.2968,1.5257,2.4598,4.74206,0.936251,1.30227,1.52551,2.45979,4.72213
0.755,1.29871,1.52554,2.45949,4.73448,0.936901,1.30227,1.52551,2.45979,4.72213
0.76,1.2996,1.52507,2.45852,4.72938,0.937119,1.30227,1.52551,2.45979,4.72213
0.765,1.29936,1.5238,2.45585,4.72512,0.936757,1.30227,1.52551,2.45979,4.72213
0.77,1.29715,1.52045,2.44879,4.71954,0.935248,1.30227,1.52551,2.45979,4.72213
0.775,1.29055,1.51178,2.4306,4.70843,0.931015,1.30227,1.52551,2.45979,4.72213
0.78,1.27338,1.48973,2.38482,4.68206,0.920018,1.30227,1.52551,2.45979,4.72213
0.785,1.23139,1.43488,2.27421,4.61715,0.892349,1.30227,1.52551,2.45979,4.72213
0.79,1.13746,1.30485,2.02983,4.46134,0.82553,1.30227,1.52551,2.45979,4.72213
0.795,0.962826,1.03016,1.58727,4.12137,0.678092,1.30227,1.52551,2.45979,4.72213
0.8,0.736756,0.588504,1.04735,3.55394,0.417158,0.5,0.0,0.571,2.855
0.805,0.57274,0.189548,0.699788,3.05456,0.144928,0.5,0.0,0.571,2.855
0.81,0.514002,0.0357964,0.59388,2.88851,0.0281455,0.5,0.0,0.571,2.855
0.815,0.502186,0.00553892,0.574507,2.86003,0.00437669,0.5,0.0,0.571,2.855
0.82,0.500326,0.00082527,0.571522,2.85575,0.000652593,0.5,0.0,0.571,2.855
0.825,0.500048,0.000122208,0.571077,2.85511,9.66482e-05,0.5,0.0,0.571,2.855
0.83,0.500007,1.80725e-05,0.571011,2.85502,1.42929e-05,0.5,0.0,0.571,2.855
0.835,0.500001,2.6707e-06,0.571002,2.855,2.11216e-06,0.5,0.0,0.571,2.855
0.84,0.5,3.94379e-07,0.571,2.855,3.11901e-07,0.5,0.0,0.571,2.855
0.845,0.5,5.81876e-08,0.571,2.855,4.60186e-08,0.5,0.0,0.571,2.855
0.85,0.5,8.57625e-09,0.571,2.855,6.78266e-09,0.5,0.0,0.571,2.855
0.855,0.5,1.26247e-09,0.571,2.855,9.98447e-10,0.5,0.0,0.571,2.855
0.86,0.5,1.85563e-10,0.571,2.855,1.46755e-10,0.5,0.0,0.571,2.855
