x,rho,u,P,e,rho_ref,u_ref,P_ref,e_ref
0.735,0.354651,1.36083,0.466258,3.28673,1.00306,0.3397,1.36091,0.466294,3.43165
0.74,0.349425,1.36083,0.466257,3.33588,0.995644,0.3397,1.36091,0.466294,3.43165
0.745,0.345769,1.36082,0.466256,3.37115,0.990419,0.3397,1.36091,0.466294,3.43165
0.75,0.343323,1.36082,0.466254,3.39516,0.986907,0.3397,1.36091,0.466294,3.43165
0.755,0.341759,1.36081,0.466253,3.41069,0.984655,0.3397,1.36091,0.466294,3.43165
0.76,0.340806,1.36081,0.466251,3.42021,0.98328,0.3397,1.36091,0.466294,3.43165
0.765,0.340255,1.3608,0.466249,3.42574,0.982482,0.3397,1.36091,0.466294,3.43165
0.77,0.339952,1.3608,0.466247,3.42877,0.982044,0.3397,1.36091,0.466294,3.43165
0.775,0.339796,1.36079,0.466244,3.43032,0.981817,0.3397,1.36091,0.466294,3.43165
0.78,0.339721,1.36078,0.466241,3.43105,0.981706,0.3397,1.36091,0.466294,3.43165
0.785,0.339686,1.36077,0.466233,3.43135,0.981651,0.3397,1.36091,0.466294,3.43165
0.79,0.339659,1.3607,0.466202,3.43139,0.981597,0.3397,1.36091,0.466294,3.43165
0.795,0.339579,1.36038,0.466053,3.4311,0.981409,0.3397,1.36091,0.466294,3.43165
0.8,0.339175,1.35873,0.465274,3.42946,0.98045,0.3397,1.36091,0.466294,3.43165
0.805,0.33705,1.35001,0.461194,3.42081,0.975392,0.3397,1.36091,0.466294,3.43165
0.81,0.326464,1.30576,0.440957,3.37677,0.949553,0.3397,1.36091,0.466294,3.43165
0.815,0.284616,1.11544,0.362413,3.18334,0.83543,0.3397,1.36091,0.466294,3.43165
0.82,0.197818,0.605494,0.208335,2.63291,0.498652,0.125,0.0,0.1,2.0
0.825,0.13743,0.109572,0.115166,2.09498,0.101161,0.125,0.0,0.1,2.0
0.83,0.12592,0.00781753,0.101036,2.00597,0.00737587,0.125,0.0,0.1,2.0
0.835,0.125056,0.000472126,0.100062,2.00036,0.000446077,0.125,0.0,0.1,2.0
0.84,0.125003,2.81888e-05,0.100004,2.00002,2.66357e-05,0.125,0.0,0.1,2.0
0.845,0.125,1.68155e-06,0.1,2.0,1.58892e-06,0.125,0.0,0.1,2.0
0.85,0.125,1.00276e-07,0.1,2.0,9.47517e-08,0.125,0.0,0.1,2.0
0.855,0.125,5.97711e-09,0.1,2.0,5.64784e-09,0.125,0.0,0.1,2.0
0.86,0.125,3.56053e-10,0.1,2.0,3.36438e-10,0.125,0.0,0.1,2.0
0.865,0.125,2.11908e-11,0.1,2.0,2.00234e-11,0.125,0.0,0.1,2.0
0.87,0.125,1.25951e-12,0.1,2.0,1.19012e-12,0.125,0.0,0.1,2.0
0.875,0.125,7.46574e-14,0.1,2.0,7.05446e-14,0.125,0.0,0.1,2.0
0.88,0.125,4.39732e-15,0.1,2.0,4.15507e-15,0.125,0.0,0.1,2.0
0.885,0.125,2.26332e-16,0.1,2.0,2.13864e-16,0.125,0.0,0.1,2.0
0.89,0.125,0.0,0.1,2.0,0.0,0.125,0.0,0.1,2.0
0.895,0.125,0.0,0.1,2.0,0.0,0.125,0.0,0.1,2.0
0.9,0.125,0.0,0.1,2.0,0.0,0.125,0.0,0.1,2.0
0.905,0.125,0.0,0.1,2.0,0.0,0.125,0.0,0.1,2.0
0.91,0.125,0.0,0.1,2.0,0.0,0.125,0.0,0.1,2.0
0.915,0.125,0.0,0.1,2.0,0.0,0.125,0.0,0.1,2.0
0.92,0.125,0.0,0.1,2.0,0.0,0.125,0.0,0.1,2.0
0.925,0.125,0.0,0.1,2.0,0.0,0.125,0.0,0.1,2.0
0.93,0.125,0.0,0.1,2.0,0.0,0.125,0.0,0.1,2.0
0.935,0.125,0.0,0.1,2.0,0.0,0.125,0.0,0.1,2.0
0.94,0.125,0.0,0.1,2.0,0.0,0.125,0.0,0.1,2.0
0.945,0.125,0.0,0.1,2.0,0.0,0.125,0.0,0.1,2.0
0.95,0.125,0.0,0.1,2.0,0.0,0.125,0.0,0.1,2.0
0.955,0.125,0.0,0.1,2.0,0.0,0.125,0.0,0.1,2.0
0.96,0.125,0.0,0.1,2.0,0.0,0.125,0.0,0.1,2.0
0.965,0.125,0.0,0.1,2.0,0.0,0.125,0.0,0.1,2.0
0.97,0.125,0.0,0.1,2.0,0.0,0.125,0.0,0.1,2.0
0.975,0.125,0.0,0.1,2.0,0.0,0.125,0.0,0.1,2.0
0.98,0.125,0.0,0.1,2.0,0.0,0.125,0.0,0.1,2.0
0.985,0.125,0.0,0.1,2.0,0.0,0.125,0.0,0.1,2.0
0.99,0.125,0.0,0.1,2.0,0.0,0.125,0.0,0.1,2.0
0.995,0.125,0.0,0.1,2.0,0.0,0.125,0.0,0.1,2.0
1.0,0.125,0.0,0.1,2.0,0.0,0.125,0.0,0.1,2.0
